# FE Release Version: 2.4.24
# lut_sram_1024x16 words=1024 bits=16 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	ff_1p10v_1p10v_125c	
S		N
geomx     	317.790   
geomy     	69.105    
volt      	1.100     
temp      	125.000   
tcyc0     	0.713     
tcyc1     	0.752     
tcyc2     	0.803     
tcyc3     	0.821     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	0.244     
ta1       	0.282     
ta2       	0.333     
ta3       	0.352     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.157     
tah       	0.106     
tcs       	0.102     
tch       	0.099     
tws       	0.062     
twh       	0.116     
tds       	0.052     
tdh       	0.097     
tckh      	0.030     
tckl      	0.037     
tckr      	1.000     
icap_a    	0.006     
icap_clk  	0.032     
icap_cen  	0.002     
icap_d    	0.002     
icap_wen  	0.006     
load_q    	0.221     
icc_p0    	2.012     
icc_p1    	2.050     
icc_p2    	2.073     
icc_p3    	2.102     
icc_p4    	999.000   
icc_p5    	999.000   
icc_p6    	999.000   
icc_p7    	999.000   
icc_p_r0  	2.151     
icc_p_r1  	2.194     
icc_p_r2  	2.212     
icc_p_r3  	2.247     
icc_p_r4  	999.000   
icc_p_r5  	999.000   
icc_p_r6  	999.000   
icc_p_r7  	999.000   
icc_p_w0  	1.873     
icc_p_w1  	1.906     
icc_p_w2  	1.935     
icc_p_w3  	1.957     
icc_p_w4  	999.000   
icc_p_w5  	999.000   
icc_p_w6  	999.000   
icc_p_w7  	999.000   
icc_p_peak	81.068    
icc_p_desel	0.371     
icc_p_standby	2.257     
icc_p_standby_retn	0.000e+00 
icc_c0    	6.425e-02 
icc_c1    	6.425e-02 
icc_c2    	6.425e-02 
icc_c3    	6.425e-02 
icc_c4    	999.000   
icc_c5    	999.000   
icc_c6    	999.000   
icc_c7    	999.000   
icc_c_r0  	5.975e-02 
icc_c_r1  	5.975e-02 
icc_c_r2  	5.975e-02 
icc_c_r3  	5.975e-02 
icc_c_r4  	999.000   
icc_c_r5  	999.000   
icc_c_r6  	999.000   
icc_c_r7  	999.000   
icc_c_w0  	6.875e-02 
icc_c_w1  	6.875e-02 
icc_c_w2  	6.875e-02 
icc_c_w3  	6.875e-02 
icc_c_w4  	999.000   
icc_c_w5  	999.000   
icc_c_w6  	999.000   
icc_c_w7  	999.000   
icc_c_peak	13.153    
icc_c_desel	0.000e+00 
icc_c_standby	2.079     
icc_c_standby_retn	2.208     
pwn_ck    	10.000    
vn_ck     	0.506     
vn_pwr    	0.110     
vn_gnd    	0.110     
# EMA feature specific information.
icap_ema  	0.004     
temas     	0.713     
temah     	0.821     
# MTCMOS feature specific information.
icap_retn 	0.004     
tretnq    	0.199     
tretns    	0.103     
tretnh    	0.101     
tcen_retnh	0.166     
tretn_cenh	0.821     
