# FE Release Version: 2.4.24
# lut_sram_1024x16 words=1024 bits=16 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	ff_1p10v_1p10v_m40c	
S		N
geomx     	317.790   
geomy     	69.105    
volt      	1.100     
temp      	-40.000   
tcyc0     	0.625     
tcyc1     	0.661     
tcyc2     	0.709     
tcyc3     	0.725     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	0.211     
ta1       	0.247     
ta2       	0.295     
ta3       	0.311     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.155     
tah       	0.090     
tcs       	0.116     
tch       	0.090     
tws       	0.058     
twh       	0.127     
tds       	0.047     
tdh       	0.082     
tckh      	0.023     
tckl      	0.037     
tckr      	1.000     
icap_a    	0.006     
icap_clk  	0.031     
icap_cen  	0.002     
icap_d    	0.002     
icap_wen  	0.006     
load_q    	0.186     
icc_p0    	1.711     
icc_p1    	1.748     
icc_p2    	1.785     
icc_p3    	1.790     
icc_p4    	999.000   
icc_p5    	999.000   
icc_p6    	999.000   
icc_p7    	999.000   
icc_p_r0  	1.811     
icc_p_r1  	1.851     
icc_p_r2  	1.893     
icc_p_r3  	1.898     
icc_p_r4  	999.000   
icc_p_r5  	999.000   
icc_p_r6  	999.000   
icc_p_r7  	999.000   
icc_p_w0  	1.611     
icc_p_w1  	1.645     
icc_p_w2  	1.677     
icc_p_w3  	1.682     
icc_p_w4  	999.000   
icc_p_w5  	999.000   
icc_p_w6  	999.000   
icc_p_w7  	999.000   
icc_p_peak	89.494    
icc_p_desel	0.310     
icc_p_standby	8.824e-02 
icc_p_standby_retn	0.000e+00 
icc_c0    	5.841e-02 
icc_c1    	5.841e-02 
icc_c2    	5.841e-02 
icc_c3    	5.841e-02 
icc_c4    	999.000   
icc_c5    	999.000   
icc_c6    	999.000   
icc_c7    	999.000   
icc_c_r0  	5.344e-02 
icc_c_r1  	5.344e-02 
icc_c_r2  	5.344e-02 
icc_c_r3  	5.344e-02 
icc_c_r4  	999.000   
icc_c_r5  	999.000   
icc_c_r6  	999.000   
icc_c_r7  	999.000   
icc_c_w0  	6.338e-02 
icc_c_w1  	6.338e-02 
icc_c_w2  	6.338e-02 
icc_c_w3  	6.338e-02 
icc_c_w4  	999.000   
icc_c_w5  	999.000   
icc_c_w6  	999.000   
icc_c_w7  	999.000   
icc_c_peak	13.164    
icc_c_desel	0.000e+00 
icc_c_standby	9.984e-02 
icc_c_standby_retn	0.104     
pwn_ck    	10.000    
vn_ck     	0.515     
vn_pwr    	0.110     
vn_gnd    	0.110     
# EMA feature specific information.
icap_ema  	0.004     
temas     	0.625     
temah     	0.725     
# MTCMOS feature specific information.
icap_retn 	0.004     
tretnq    	0.185     
tretns    	0.117     
tretnh    	0.092     
tcen_retnh	0.143     
tretn_cenh	0.725     
