# FE Release Version: 2.4.24
# lut_sram_1024x16 words=1024 bits=16 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	ss_0p90v_0p90v_125c	
S		N
geomx     	317.790   
geomy     	69.105    
volt      	0.900     
temp      	125.000   
tcyc0     	1.510     
tcyc1     	1.603     
tcyc2     	1.746     
tcyc3     	1.794     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	1.102     
ta1       	1.196     
ta2       	1.339     
ta3       	1.387     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.345     
tah       	0.210     
tcs       	0.230     
tch       	0.194     
tws       	0.173     
twh       	0.264     
tds       	0.169     
tdh       	0.198     
tckh      	0.023     
tckl      	0.115     
tckr      	1.000     
icap_a    	0.005     
icap_clk  	0.031     
icap_cen  	0.002     
icap_d    	0.002     
icap_wen  	0.006     
load_q    	0.546     
icc_p0    	1.318     
icc_p1    	1.346     
icc_p2    	1.387     
icc_p3    	1.399     
icc_p4    	999.000   
icc_p5    	999.000   
icc_p6    	999.000   
icc_p7    	999.000   
icc_p_r0  	1.409     
icc_p_r1  	1.435     
icc_p_r2  	1.478     
icc_p_r3  	1.497     
icc_p_r4  	999.000   
icc_p_r5  	999.000   
icc_p_r6  	999.000   
icc_p_r7  	999.000   
icc_p_w0  	1.228     
icc_p_w1  	1.256     
icc_p_w2  	1.297     
icc_p_w3  	1.300     
icc_p_w4  	999.000   
icc_p_w5  	999.000   
icc_p_w6  	999.000   
icc_p_w7  	999.000   
icc_p_peak	30.015    
icc_p_desel	0.236     
icc_p_standby	0.103     
icc_p_standby_retn	0.000e+00 
icc_c0    	4.231e-02 
icc_c1    	4.231e-02 
icc_c2    	4.231e-02 
icc_c3    	4.231e-02 
icc_c4    	999.000   
icc_c5    	999.000   
icc_c6    	999.000   
icc_c7    	999.000   
icc_c_r0  	3.749e-02 
icc_c_r1  	3.749e-02 
icc_c_r2  	3.749e-02 
icc_c_r3  	3.749e-02 
icc_c_r4  	999.000   
icc_c_r5  	999.000   
icc_c_r6  	999.000   
icc_c_r7  	999.000   
icc_c_w0  	4.714e-02 
icc_c_w1  	4.714e-02 
icc_c_w2  	4.714e-02 
icc_c_w3  	4.714e-02 
icc_c_w4  	999.000   
icc_c_w5  	999.000   
icc_c_w6  	999.000   
icc_c_w7  	999.000   
icc_c_peak	5.116     
icc_c_desel	0.000e+00 
icc_c_standby	0.113     
icc_c_standby_retn	0.115     
pwn_ck    	10.000    
vn_ck     	0.450     
vn_pwr    	0.090     
vn_gnd    	0.090     
# EMA feature specific information.
icap_ema  	0.004     
temas     	1.510     
temah     	1.794     
# MTCMOS feature specific information.
icap_retn 	0.004     
tretnq    	0.431     
tretns    	0.233     
tretnh    	0.196     
tcen_retnh	0.282     
tretn_cenh	1.794     
