# FE Release Version: 2.4.24
# lut_sram_1024x16 words=1024 bits=16 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	ss_0p90v_0p90v_m40c	
S		N
geomx     	317.790   
geomy     	69.105    
volt      	0.900     
temp      	-40.000   
tcyc0     	1.587     
tcyc1     	1.682     
tcyc2     	1.862     
tcyc3     	1.910     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	1.180     
ta1       	1.275     
ta2       	1.455     
ta3       	1.504     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.377     
tah       	0.202     
tcs       	0.222     
tch       	0.210     
tws       	0.179     
twh       	0.262     
tds       	0.175     
tdh       	0.167     
tckh      	0.020     
tckl      	0.115     
tckr      	1.000     
icap_a    	0.005     
icap_clk  	0.029     
icap_cen  	0.002     
icap_d    	0.002     
icap_wen  	0.006     
load_q    	0.559     
icc_p0    	1.276     
icc_p1    	1.297     
icc_p2    	1.338     
icc_p3    	1.347     
icc_p4    	999.000   
icc_p5    	999.000   
icc_p6    	999.000   
icc_p7    	999.000   
icc_p_r0  	1.358     
icc_p_r1  	1.375     
icc_p_r2  	1.428     
icc_p_r3  	1.439     
icc_p_r4  	999.000   
icc_p_r5  	999.000   
icc_p_r6  	999.000   
icc_p_r7  	999.000   
icc_p_w0  	1.193     
icc_p_w1  	1.220     
icc_p_w2  	1.249     
icc_p_w3  	1.256     
icc_p_w4  	999.000   
icc_p_w5  	999.000   
icc_p_w6  	999.000   
icc_p_w7  	999.000   
icc_p_peak	31.702    
icc_p_desel	0.216     
icc_p_standby	8.269e-03 
icc_p_standby_retn	0.000e+00 
icc_c0    	4.181e-02 
icc_c1    	4.181e-02 
icc_c2    	4.181e-02 
icc_c3    	4.181e-02 
icc_c4    	999.000   
icc_c5    	999.000   
icc_c6    	999.000   
icc_c7    	999.000   
icc_c_r0  	3.951e-02 
icc_c_r1  	3.951e-02 
icc_c_r2  	3.951e-02 
icc_c_r3  	3.951e-02 
icc_c_r4  	999.000   
icc_c_r5  	999.000   
icc_c_r6  	999.000   
icc_c_r7  	999.000   
icc_c_w0  	4.412e-02 
icc_c_w1  	4.412e-02 
icc_c_w2  	4.412e-02 
icc_c_w3  	4.412e-02 
icc_c_w4  	999.000   
icc_c_w5  	999.000   
icc_c_w6  	999.000   
icc_c_w7  	999.000   
icc_c_peak	4.599     
icc_c_desel	0.000e+00 
icc_c_standby	1.023e-02 
icc_c_standby_retn	1.049e-02 
pwn_ck    	10.000    
vn_ck     	0.493     
vn_pwr    	0.090     
vn_gnd    	0.090     
# EMA feature specific information.
icap_ema  	0.003     
temas     	1.587     
temah     	1.910     
# MTCMOS feature specific information.
icap_retn 	0.004     
tretnq    	0.464     
tretns    	0.226     
tretnh    	0.214     
tcen_retnh	0.281     
tretn_cenh	1.910     
