# FE Release Version: 2.4.24
# lut_sram_1024x16 words=1024 bits=16 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	tt_1p00v_1p00v_25c	
S		N
geomx     	317.790   
geomy     	69.105    
volt      	1.000     
temp      	25.000    
tcyc0     	0.936     
tcyc1     	0.989     
tcyc2     	1.070     
tcyc3     	1.096     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	0.714     
ta1       	0.767     
ta2       	0.848     
ta3       	0.874     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.220     
tah       	0.131     
tcs       	0.153     
tch       	0.121     
tws       	0.089     
twh       	0.160     
tds       	0.081     
tdh       	0.105     
tckh      	0.030     
tckl      	0.066     
tckr      	1.000     
icap_a    	0.006     
icap_clk  	0.031     
icap_cen  	0.002     
icap_d    	0.002     
icap_wen  	0.006     
load_q    	0.390     
icc_p0    	1.498     
icc_p1    	1.530     
icc_p2    	1.574     
icc_p3    	1.592     
icc_p4    	999.000   
icc_p5    	999.000   
icc_p6    	999.000   
icc_p7    	999.000   
icc_p_r0  	1.593     
icc_p_r1  	1.626     
icc_p_r2  	1.679     
icc_p_r3  	1.692     
icc_p_r4  	999.000   
icc_p_r5  	999.000   
icc_p_r6  	999.000   
icc_p_r7  	999.000   
icc_p_w0  	1.404     
icc_p_w1  	1.433     
icc_p_w2  	1.470     
icc_p_w3  	1.491     
icc_p_w4  	999.000   
icc_p_w5  	999.000   
icc_p_w6  	999.000   
icc_p_w7  	999.000   
icc_p_peak	53.713    
icc_p_desel	0.265     
icc_p_standby	4.934e-02 
icc_p_standby_retn	0.000e+00 
icc_c0    	4.807e-02 
icc_c1    	4.807e-02 
icc_c2    	4.807e-02 
icc_c3    	4.807e-02 
icc_c4    	999.000   
icc_c5    	999.000   
icc_c6    	999.000   
icc_c7    	999.000   
icc_c_r0  	4.263e-02 
icc_c_r1  	4.263e-02 
icc_c_r2  	4.263e-02 
icc_c_r3  	4.263e-02 
icc_c_r4  	999.000   
icc_c_r5  	999.000   
icc_c_r6  	999.000   
icc_c_r7  	999.000   
icc_c_w0  	5.351e-02 
icc_c_w1  	5.351e-02 
icc_c_w2  	5.351e-02 
icc_c_w3  	5.351e-02 
icc_c_w4  	999.000   
icc_c_w5  	999.000   
icc_c_w6  	999.000   
icc_c_w7  	999.000   
icc_c_peak	8.475     
icc_c_desel	0.000e+00 
icc_c_standby	6.034e-02 
icc_c_standby_retn	6.145e-02 
pwn_ck    	10.000    
vn_ck     	0.484     
vn_pwr    	0.100     
vn_gnd    	0.100     
# EMA feature specific information.
icap_ema  	0.004     
temas     	0.936     
temah     	1.096     
# MTCMOS feature specific information.
icap_retn 	0.004     
tretnq    	0.273     
tretns    	0.155     
tretnh    	0.123     
tcen_retnh	0.195     
tretn_cenh	1.096     
