# FE Release Version: 2.4.24
# pe_spad_1024x16_dp words=1024 bits=16 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	ff_1p10v_1p10v_0c	
S		N
geomx     	560.700   
geomy     	104.270   
volt      	1.100     
temp      	0.000     
tcyc0     	0.703     
tcyc1     	0.749     
tcyc2     	0.810     
tcyc3     	0.835     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	0.468     
ta1       	0.514     
ta2       	0.575     
ta3       	0.600     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.207     
tah       	0.153     
tcs       	0.398     
tch       	0.250     
tws       	0.187     
twh       	0.217     
tds       	0.106     
tdh       	0.182     
tcc0      	0.502     
tcc1      	0.548     
tcc2      	0.609     
tcc3      	0.634     
tcc4      	999.000   
tcc5      	999.000   
tcc6      	999.000   
tcc7      	999.000   
tckh      	0.031     
tckl      	0.067     
tckr      	1.000     
icap_a    	0.004     
icap_clk  	0.031     
icap_cen  	0.003     
icap_d    	0.002     
icap_wen  	0.004     
load_q    	0.199     
icc_p0    	2.747     
icc_p1    	2.801     
icc_p2    	2.869     
icc_p3    	2.895     
icc_p4    	2.941     
icc_p5    	2.956     
icc_p6    	2.975     
icc_p7    	2.980     
icc_p_r0  	3.072     
icc_p_r1  	3.136     
icc_p_r2  	3.212     
icc_p_r3  	3.241     
icc_p_r4  	3.292     
icc_p_r5  	3.310     
icc_p_r6  	3.337     
icc_p_r7  	3.336     
icc_p_w0  	2.422     
icc_p_w1  	2.466     
icc_p_w2  	2.526     
icc_p_w3  	2.549     
icc_p_w4  	2.589     
icc_p_w5  	2.602     
icc_p_w6  	2.612     
icc_p_w7  	2.625     
icc_p_peak	278.305   
icc_p_desel	0.464     
icc_p_standby	3.660     
icc_p_standby_retn	0.000e+00 
icc_c0    	0.140     
icc_c1    	0.140     
icc_c2    	0.141     
icc_c3    	0.140     
icc_c4    	0.141     
icc_c5    	0.141     
icc_c6    	0.141     
icc_c7    	0.141     
icc_c_r0  	0.127     
icc_c_r1  	0.128     
icc_c_r2  	0.128     
icc_c_r3  	0.128     
icc_c_r4  	0.129     
icc_c_r5  	0.128     
icc_c_r6  	0.129     
icc_c_r7  	0.128     
icc_c_w0  	0.153     
icc_c_w1  	0.152     
icc_c_w2  	0.153     
icc_c_w3  	0.153     
icc_c_w4  	0.153     
icc_c_w5  	0.153     
icc_c_w6  	0.153     
icc_c_w7  	0.153     
icc_c_peak	22.087    
icc_c_desel	1.000e-01 
icc_c_standby	0.297     
icc_c_standby_retn	0.298     
pwn_ck    	10.000    
vn_ck     	0.494     
vn_pwr    	0.110     
vn_gnd    	0.110     
# EMA feature specific information.
icap_ema  	0.009     
temas     	0.703     
temah     	0.703     
# MTCMOS feature specific information.
icap_retn 	0.012     
tretnq    	0.180     
tretns    	0.398     
tretnh    	0.250     
tcen_retnh	0.311     
tretn_cenh	0.835     
