# FE Release Version: 2.4.24
# pe_spad_1024x16_dp words=1024 bits=16 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	ff_1p10v_1p10v_m40c	
S		N
geomx     	560.700   
geomy     	104.270   
volt      	1.100     
temp      	-40.000   
tcyc0     	0.684     
tcyc1     	1.897     
tcyc2     	1.960     
tcyc3     	1.986     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	0.457     
ta1       	1.671     
ta2       	1.733     
ta3       	1.760     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.202     
tah       	0.149     
tcs       	0.393     
tch       	0.247     
tws       	0.178     
twh       	0.210     
tds       	0.103     
tdh       	0.177     
tcc0      	0.481     
tcc1      	1.694     
tcc2      	1.757     
tcc3      	1.783     
tcc4      	999.000   
tcc5      	999.000   
tcc6      	999.000   
tcc7      	999.000   
tckh      	0.027     
tckl      	0.064     
tckr      	1.000     
icap_a    	0.004     
icap_clk  	0.031     
icap_cen  	0.003     
icap_d    	0.002     
icap_wen  	0.004     
load_q    	0.191     
icc_p0    	2.682     
icc_p1    	2.732     
icc_p2    	2.804     
icc_p3    	2.823     
icc_p4    	2.873     
icc_p5    	2.888     
icc_p6    	2.900     
icc_p7    	2.914     
icc_p_r0  	3.003     
icc_p_r1  	3.061     
icc_p_r2  	3.140     
icc_p_r3  	3.161     
icc_p_r4  	3.220     
icc_p_r5  	3.237     
icc_p_r6  	3.251     
icc_p_r7  	3.267     
icc_p_w0  	2.361     
icc_p_w1  	2.404     
icc_p_w2  	2.469     
icc_p_w3  	2.486     
icc_p_w4  	2.526     
icc_p_w5  	2.538     
icc_p_w6  	2.548     
icc_p_w7  	2.560     
icc_p_peak	293.268   
icc_p_desel	0.439     
icc_p_standby	1.705     
icc_p_standby_retn	0.000e+00 
icc_c0    	0.137     
icc_c1    	0.138     
icc_c2    	0.138     
icc_c3    	0.138     
icc_c4    	0.139     
icc_c5    	0.139     
icc_c6    	0.139     
icc_c7    	0.139     
icc_c_r0  	0.125     
icc_c_r1  	0.126     
icc_c_r2  	0.126     
icc_c_r3  	0.126     
icc_c_r4  	0.126     
icc_c_r5  	0.126     
icc_c_r6  	0.127     
icc_c_r7  	0.126     
icc_c_w0  	0.149     
icc_c_w1  	0.150     
icc_c_w2  	0.151     
icc_c_w3  	0.151     
icc_c_w4  	0.151     
icc_c_w5  	0.151     
icc_c_w6  	0.151     
icc_c_w7  	0.151     
icc_c_peak	21.287    
icc_c_desel	1.000e-01 
icc_c_standby	0.179     
icc_c_standby_retn	0.180     
pwn_ck    	10.000    
vn_ck     	0.498     
vn_pwr    	0.110     
vn_gnd    	0.110     
# EMA feature specific information.
icap_ema  	0.011     
temas     	0.684     
temah     	0.684     
# MTCMOS feature specific information.
icap_retn 	0.012     
tretnq    	0.184     
tretns    	0.393     
tretnh    	0.247     
tcen_retnh	0.304     
tretn_cenh	1.986     
