# FE Release Version: 2.4.24
# pe_spad_1024x16_dp words=1024 bits=16 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	ss_0p90v_0p90v_125c	
S		N
geomx     	560.700   
geomy     	104.270   
volt      	0.900     
temp      	125.000   
tcyc0     	1.663     
tcyc1     	1.792     
tcyc2     	1.978     
tcyc3     	2.075     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	1.295     
ta1       	1.425     
ta2       	1.611     
ta3       	1.708     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.385     
tah       	0.313     
tcs       	0.539     
tch       	0.387     
tws       	0.478     
twh       	0.454     
tds       	0.319     
tdh       	0.360     
tcc0      	1.129     
tcc1      	1.259     
tcc2      	1.444     
tcc3      	1.542     
tcc4      	999.000   
tcc5      	999.000   
tcc6      	999.000   
tcc7      	999.000   
tckh      	0.052     
tckl      	0.173     
tckr      	1.000     
icap_a    	0.004     
icap_clk  	0.029     
icap_cen  	0.003     
icap_d    	0.002     
icap_wen  	0.004     
load_q    	0.572     
icc_p0    	2.103     
icc_p1    	2.160     
icc_p2    	2.219     
icc_p3    	2.244     
icc_p4    	2.282     
icc_p5    	2.294     
icc_p6    	2.304     
icc_p7    	2.319     
icc_p_r0  	2.353     
icc_p_r1  	2.417     
icc_p_r2  	2.485     
icc_p_r3  	2.515     
icc_p_r4  	2.559     
icc_p_r5  	2.572     
icc_p_r6  	2.583     
icc_p_r7  	2.598     
icc_p_w0  	1.853     
icc_p_w1  	1.902     
icc_p_w2  	1.954     
icc_p_w3  	1.973     
icc_p_w4  	2.006     
icc_p_w5  	2.017     
icc_p_w6  	2.025     
icc_p_w7  	2.039     
icc_p_peak	115.412   
icc_p_desel	0.326     
icc_p_standby	0.442     
icc_p_standby_retn	0.000e+00 
icc_c0    	0.130     
icc_c1    	0.130     
icc_c2    	0.130     
icc_c3    	0.130     
icc_c4    	0.130     
icc_c5    	0.130     
icc_c6    	0.131     
icc_c7    	0.131     
icc_c_r0  	0.119     
icc_c_r1  	0.119     
icc_c_r2  	0.119     
icc_c_r3  	0.119     
icc_c_r4  	0.119     
icc_c_r5  	0.119     
icc_c_r6  	0.119     
icc_c_r7  	0.119     
icc_c_w0  	0.141     
icc_c_w1  	0.141     
icc_c_w2  	0.141     
icc_c_w3  	0.141     
icc_c_w4  	0.142     
icc_c_w5  	0.142     
icc_c_w6  	0.142     
icc_c_w7  	0.142     
icc_c_peak	9.819     
icc_c_desel	1.000e-01 
icc_c_standby	0.186     
icc_c_standby_retn	0.190     
pwn_ck    	10.000    
vn_ck     	0.430     
vn_pwr    	0.090     
vn_gnd    	0.090     
# EMA feature specific information.
icap_ema  	0.009     
temas     	1.663     
temah     	1.663     
# MTCMOS feature specific information.
icap_retn 	0.011     
tretnq    	0.267     
tretns    	0.539     
tretnh    	0.387     
tcen_retnh	0.803     
tretn_cenh	2.075     
