# FE Release Version: 2.4.24
# pe_spad_1024x16_dp words=1024 bits=16 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	ss_0p90v_0p90v_m40c	
S		N
geomx     	560.700   
geomy     	104.270   
volt      	0.900     
temp      	-40.000   
tcyc0     	1.797     
tcyc1     	1.938     
tcyc2     	2.147     
tcyc3     	2.259     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	1.349     
ta1       	1.490     
ta2       	1.699     
ta3       	1.811     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.484     
tah       	0.301     
tcs       	0.564     
tch       	0.396     
tws       	0.576     
twh       	0.472     
tds       	0.399     
tdh       	0.370     
tcc0      	1.136     
tcc1      	1.278     
tcc2      	1.487     
tcc3      	1.598     
tcc4      	999.000   
tcc5      	999.000   
tcc6      	999.000   
tcc7      	999.000   
tckh      	0.052     
tckl      	0.181     
tckr      	1.000     
icap_a    	0.004     
icap_clk  	0.028     
icap_cen  	0.003     
icap_d    	0.002     
icap_wen  	0.004     
load_q    	0.579     
icc_p0    	1.818     
icc_p1    	1.867     
icc_p2    	1.872     
icc_p3    	1.869     
icc_p4    	1.905     
icc_p5    	1.887     
icc_p6    	1.890     
icc_p7    	1.897     
icc_p_r0  	2.057     
icc_p_r1  	2.137     
icc_p_r2  	2.121     
icc_p_r3  	2.107     
icc_p_r4  	2.167     
icc_p_r5  	2.131     
icc_p_r6  	2.132     
icc_p_r7  	2.144     
icc_p_w0  	1.579     
icc_p_w1  	1.597     
icc_p_w2  	1.623     
icc_p_w3  	1.631     
icc_p_w4  	1.643     
icc_p_w5  	1.644     
icc_p_w6  	1.647     
icc_p_w7  	1.650     
icc_p_peak	70.783    
icc_p_desel	0.300     
icc_p_standby	2.646e-02 
icc_p_standby_retn	0.000e+00 
icc_c0    	0.127     
icc_c1    	0.128     
icc_c2    	0.129     
icc_c3    	0.124     
icc_c4    	0.128     
icc_c5    	0.129     
icc_c6    	0.129     
icc_c7    	0.352     
icc_c_r0  	0.119     
icc_c_r1  	0.120     
icc_c_r2  	0.121     
icc_c_r3  	0.122     
icc_c_r4  	0.120     
icc_c_r5  	0.122     
icc_c_r6  	0.122     
icc_c_r7  	0.569     
icc_c_w0  	0.135     
icc_c_w1  	0.136     
icc_c_w2  	0.137     
icc_c_w3  	0.125     
icc_c_w4  	0.136     
icc_c_w5  	0.136     
icc_c_w6  	0.136     
icc_c_w7  	0.136     
icc_c_peak	13.948    
icc_c_desel	1.000e-01 
icc_c_standby	1.985e-02 
icc_c_standby_retn	1.998e-02 
pwn_ck    	10.000    
vn_ck     	0.577     
vn_pwr    	0.090     
vn_gnd    	0.090     
# EMA feature specific information.
icap_ema  	0.008     
temas     	1.797     
temah     	1.797     
# MTCMOS feature specific information.
icap_retn 	0.011     
tretnq    	0.289     
tretns    	0.564     
tretnh    	0.396     
tcen_retnh	0.855     
tretn_cenh	2.259     
