# FE Release Version: 2.4.24
# pe_spad_1024x16_dp words=1024 bits=16 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	tt_1p00v_1p00v_25c	
S		N
geomx     	560.700   
geomy     	104.270   
volt      	1.000     
temp      	25.000    
tcyc0     	1.021     
tcyc1     	1.090     
tcyc2     	1.190     
tcyc3     	1.241     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	0.778     
ta1       	0.848     
ta2       	0.948     
ta3       	0.998     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.278     
tah       	0.206     
tcs       	0.410     
tch       	0.295     
tws       	0.276     
twh       	0.301     
tds       	0.170     
tdh       	0.244     
tcc0      	0.711     
tcc1      	0.780     
tcc2      	0.880     
tcc3      	0.931     
tcc4      	999.000   
tcc5      	999.000   
tcc6      	999.000   
tcc7      	999.000   
tckh      	0.035     
tckl      	0.103     
tckr      	1.000     
icap_a    	0.004     
icap_clk  	0.030     
icap_cen  	0.003     
icap_d    	0.002     
icap_wen  	0.004     
load_q    	0.402     
icc_p0    	2.361     
icc_p1    	2.417     
icc_p2    	2.482     
icc_p3    	2.505     
icc_p4    	2.549     
icc_p5    	2.562     
icc_p6    	2.573     
icc_p7    	2.586     
icc_p_r0  	2.643     
icc_p_r1  	2.710     
icc_p_r2  	2.785     
icc_p_r3  	2.809     
icc_p_r4  	2.860     
icc_p_r5  	2.875     
icc_p_r6  	2.886     
icc_p_r7  	2.900     
icc_p_w0  	2.079     
icc_p_w1  	2.124     
icc_p_w2  	2.179     
icc_p_w3  	2.201     
icc_p_w4  	2.237     
icc_p_w5  	2.248     
icc_p_w6  	2.260     
icc_p_w7  	2.271     
icc_p_peak	192.510   
icc_p_desel	0.370     
icc_p_standby	0.351     
icc_p_standby_retn	0.000e+00 
icc_c0    	0.134     
icc_c1    	0.135     
icc_c2    	0.134     
icc_c3    	0.134     
icc_c4    	0.134     
icc_c5    	0.134     
icc_c6    	0.135     
icc_c7    	0.135     
icc_c_r0  	0.123     
icc_c_r1  	0.123     
icc_c_r2  	0.123     
icc_c_r3  	0.123     
icc_c_r4  	0.123     
icc_c_r5  	0.123     
icc_c_r6  	0.123     
icc_c_r7  	0.123     
icc_c_w0  	0.145     
icc_c_w1  	0.146     
icc_c_w2  	0.146     
icc_c_w3  	0.146     
icc_c_w4  	0.146     
icc_c_w5  	0.146     
icc_c_w6  	0.146     
icc_c_w7  	0.146     
icc_c_peak	17.092    
icc_c_desel	1.000e-01 
icc_c_standby	0.106     
icc_c_standby_retn	0.106     
pwn_ck    	10.000    
vn_ck     	0.467     
vn_pwr    	0.100     
vn_gnd    	0.100     
# EMA feature specific information.
icap_ema  	0.010     
temas     	1.021     
temah     	1.021     
# MTCMOS feature specific information.
icap_retn 	0.012     
tretnq    	0.213     
tretns    	0.410     
tretnh    	0.295     
tcen_retnh	0.458     
tretn_cenh	1.241     
