# FE Release Version: 2.4.24
# picosoc_sram_2048x32 words=2048 bits=32 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	ff_1p10v_1p10v_0c	
S		N
geomx     	586.590   
geomy     	111.350   
volt      	1.100     
temp      	0.000     
tcyc0     	0.711     
tcyc1     	0.753     
tcyc2     	0.801     
tcyc3     	0.818     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	0.195     
ta1       	0.237     
ta2       	0.285     
ta3       	0.301     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.161     
tah       	0.089     
tcs       	0.115     
tch       	0.090     
tws       	0.057     
twh       	0.110     
tgwens    	0.079     
tgwenh    	0.129     
tds       	0.058     
tdh       	0.107     
tckh      	0.025     
tckl      	0.037     
tckr      	1.000     
icap_a    	0.006     
icap_clk  	0.032     
icap_cen  	0.002     
icap_d    	0.002     
icap_wen  	0.034     
icap_gwen 	0.006     
load_q    	0.193     
icc_p0    	3.817     
icc_p1    	3.877     
icc_p2    	3.960     
icc_p3    	3.966     
icc_p4    	999.000   
icc_p5    	999.000   
icc_p6    	999.000   
icc_p7    	999.000   
icc_p_r0  	4.071     
icc_p_r1  	4.140     
icc_p_r2  	4.240     
icc_p_r3  	4.240     
icc_p_r4  	999.000   
icc_p_r5  	999.000   
icc_p_r6  	999.000   
icc_p_r7  	999.000   
icc_p_w0  	3.563     
icc_p_w1  	3.615     
icc_p_w2  	3.681     
icc_p_w3  	3.693     
icc_p_w4  	999.000   
icc_p_w5  	999.000   
icc_p_w6  	999.000   
icc_p_w7  	999.000   
icc_p_peak	170.392   
icc_p_desel	0.608     
icc_p_standby	0.364     
icc_p_standby_retn	0.000e+00 
icc_c0    	8.892e-02 
icc_c1    	8.892e-02 
icc_c2    	8.892e-02 
icc_c3    	8.892e-02 
icc_c4    	999.000   
icc_c5    	999.000   
icc_c6    	999.000   
icc_c7    	999.000   
icc_c_r0  	7.810e-02 
icc_c_r1  	7.810e-02 
icc_c_r2  	7.810e-02 
icc_c_r3  	7.810e-02 
icc_c_r4  	999.000   
icc_c_r5  	999.000   
icc_c_r6  	999.000   
icc_c_r7  	999.000   
icc_c_w0  	9.974e-02 
icc_c_w1  	9.974e-02 
icc_c_w2  	9.974e-02 
icc_c_w3  	9.974e-02 
icc_c_w4  	999.000   
icc_c_w5  	999.000   
icc_c_w6  	999.000   
icc_c_w7  	999.000   
icc_c_peak	23.180    
icc_c_desel	0.000e+00 
icc_c_standby	0.509     
icc_c_standby_retn	0.525     
pwn_ck    	10.000    
vn_ck     	0.512     
vn_pwr    	0.110     
vn_gnd    	0.110     
# EMA feature specific information.
icap_ema  	0.004     
temas     	0.711     
temah     	0.818     
# MTCMOS feature specific information.
icap_retn 	0.004     
tretnq    	0.200     
tretns    	0.116     
tretnh    	0.092     
tcen_retnh	0.184     
tretn_cenh	0.818     
