# FE Release Version: 2.4.24
# picosoc_sram_2048x32 words=2048 bits=32 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	ff_1p10v_1p10v_m40c	
S		N
geomx     	586.590   
geomy     	111.350   
volt      	1.100     
temp      	-40.000   
tcyc0     	0.695     
tcyc1     	0.736     
tcyc2     	0.784     
tcyc3     	0.800     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	0.190     
ta1       	0.230     
ta2       	0.279     
ta3       	0.294     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.162     
tah       	0.090     
tcs       	0.114     
tch       	0.089     
tws       	0.058     
twh       	0.125     
tgwens    	0.079     
tgwenh    	0.127     
tds       	0.060     
tdh       	0.101     
tckh      	0.023     
tckl      	0.037     
tckr      	1.000     
icap_a    	0.006     
icap_clk  	0.031     
icap_cen  	0.002     
icap_d    	0.002     
icap_wen  	0.034     
icap_gwen 	0.006     
load_q    	0.186     
icc_p0    	3.732     
icc_p1    	3.800     
icc_p2    	3.870     
icc_p3    	3.885     
icc_p4    	999.000   
icc_p5    	999.000   
icc_p6    	999.000   
icc_p7    	999.000   
icc_p_r0  	3.972     
icc_p_r1  	4.045     
icc_p_r2  	4.125     
icc_p_r3  	4.143     
icc_p_r4  	999.000   
icc_p_r5  	999.000   
icc_p_r6  	999.000   
icc_p_r7  	999.000   
icc_p_w0  	3.493     
icc_p_w1  	3.556     
icc_p_w2  	3.614     
icc_p_w3  	3.628     
icc_p_w4  	999.000   
icc_p_w5  	999.000   
icc_p_w6  	999.000   
icc_p_w7  	999.000   
icc_p_peak	179.841   
icc_p_desel	0.581     
icc_p_standby	0.182     
icc_p_standby_retn	0.000e+00 
icc_c0    	8.977e-02 
icc_c1    	8.977e-02 
icc_c2    	8.977e-02 
icc_c3    	8.977e-02 
icc_c4    	999.000   
icc_c5    	999.000   
icc_c6    	999.000   
icc_c7    	999.000   
icc_c_r0  	7.959e-02 
icc_c_r1  	7.959e-02 
icc_c_r2  	7.959e-02 
icc_c_r3  	7.959e-02 
icc_c_r4  	999.000   
icc_c_r5  	999.000   
icc_c_r6  	999.000   
icc_c_r7  	999.000   
icc_c_w0  	9.996e-02 
icc_c_w1  	9.996e-02 
icc_c_w2  	9.996e-02 
icc_c_w3  	9.996e-02 
icc_c_w4  	999.000   
icc_c_w5  	999.000   
icc_c_w6  	999.000   
icc_c_w7  	999.000   
icc_c_peak	23.835    
icc_c_desel	0.000e+00 
icc_c_standby	0.336     
icc_c_standby_retn	0.342     
pwn_ck    	10.000    
vn_ck     	0.515     
vn_pwr    	0.110     
vn_gnd    	0.110     
# EMA feature specific information.
icap_ema  	0.004     
temas     	0.695     
temah     	0.800     
# MTCMOS feature specific information.
icap_retn 	0.004     
tretnq    	0.197     
tretns    	0.116     
tretnh    	0.091     
tcen_retnh	0.178     
tretn_cenh	0.800     
