# FE Release Version: 2.4.24
# picosoc_sram_2048x32 words=2048 bits=32 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	ss_0p90v_0p90v_125c	
S		N
geomx     	586.590   
geomy     	111.350   
volt      	0.900     
temp      	125.000   
tcyc0     	1.650     
tcyc1     	1.753     
tcyc2     	1.896     
tcyc3     	1.943     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	1.233     
ta1       	1.335     
ta2       	1.478     
ta3       	1.526     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.355     
tah       	0.213     
tcs       	0.229     
tch       	0.193     
tws       	0.156     
twh       	0.239     
tgwens    	0.210     
tgwenh    	0.264     
tds       	0.188     
tdh       	0.243     
tckh      	0.023     
tckl      	0.115     
tckr      	1.000     
icap_a    	0.005     
icap_clk  	0.031     
icap_cen  	0.002     
icap_d    	0.002     
icap_wen  	0.035     
icap_gwen 	0.006     
load_q    	0.546     
icc_p0    	2.912     
icc_p1    	2.965     
icc_p2    	3.041     
icc_p3    	3.069     
icc_p4    	999.000   
icc_p5    	999.000   
icc_p6    	999.000   
icc_p7    	999.000   
icc_p_r0  	3.132     
icc_p_r1  	3.185     
icc_p_r2  	3.266     
icc_p_r3  	3.305     
icc_p_r4  	999.000   
icc_p_r5  	999.000   
icc_p_r6  	999.000   
icc_p_r7  	999.000   
icc_p_w0  	2.691     
icc_p_w1  	2.746     
icc_p_w2  	2.816     
icc_p_w3  	2.832     
icc_p_w4  	999.000   
icc_p_w5  	999.000   
icc_p_w6  	999.000   
icc_p_w7  	999.000   
icc_p_peak	60.046    
icc_p_desel	0.444     
icc_p_standby	0.204     
icc_p_standby_retn	0.000e+00 
icc_c0    	6.196e-02 
icc_c1    	6.196e-02 
icc_c2    	6.196e-02 
icc_c3    	6.196e-02 
icc_c4    	999.000   
icc_c5    	999.000   
icc_c6    	999.000   
icc_c7    	999.000   
icc_c_r0  	5.202e-02 
icc_c_r1  	5.202e-02 
icc_c_r2  	5.202e-02 
icc_c_r3  	5.202e-02 
icc_c_r4  	999.000   
icc_c_r5  	999.000   
icc_c_r6  	999.000   
icc_c_r7  	999.000   
icc_c_w0  	7.190e-02 
icc_c_w1  	7.190e-02 
icc_c_w2  	7.190e-02 
icc_c_w3  	7.190e-02 
icc_c_w4  	999.000   
icc_c_w5  	999.000   
icc_c_w6  	999.000   
icc_c_w7  	999.000   
icc_c_peak	9.316     
icc_c_desel	0.000e+00 
icc_c_standby	0.268     
icc_c_standby_retn	0.278     
pwn_ck    	10.000    
vn_ck     	0.450     
vn_pwr    	0.090     
vn_gnd    	0.090     
# EMA feature specific information.
icap_ema  	0.004     
temas     	1.650     
temah     	1.943     
# MTCMOS feature specific information.
icap_retn 	0.004     
tretnq    	0.450     
tretns    	0.231     
tretnh    	0.195     
tcen_retnh	0.345     
tretn_cenh	1.943     
