# FE Release Version: 2.4.24
# picosoc_sram_2048x32 words=2048 bits=32 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	ss_0p90v_0p90v_m40c	
S		N
geomx     	586.590   
geomy     	111.350   
volt      	0.900     
temp      	-40.000   
tcyc0     	1.730     
tcyc1     	1.833     
tcyc2     	2.013     
tcyc3     	2.062     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	1.303     
ta1       	1.406     
ta2       	1.586     
ta3       	1.635     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.388     
tah       	0.205     
tcs       	0.221     
tch       	0.209     
tws       	0.149     
twh       	0.234     
tgwens    	0.223     
tgwenh    	0.262     
tds       	0.198     
tdh       	0.215     
tckh      	0.020     
tckl      	0.115     
tckr      	1.000     
icap_a    	0.005     
icap_clk  	0.029     
icap_cen  	0.002     
icap_d    	0.002     
icap_wen  	0.034     
icap_gwen 	0.006     
load_q    	0.559     
icc_p0    	2.815     
icc_p1    	2.864     
icc_p2    	2.964     
icc_p3    	2.990     
icc_p4    	999.000   
icc_p5    	999.000   
icc_p6    	999.000   
icc_p7    	999.000   
icc_p_r0  	2.989     
icc_p_r1  	3.030     
icc_p_r2  	3.148     
icc_p_r3  	3.177     
icc_p_r4  	999.000   
icc_p_r5  	999.000   
icc_p_r6  	999.000   
icc_p_r7  	999.000   
icc_p_w0  	2.642     
icc_p_w1  	2.699     
icc_p_w2  	2.780     
icc_p_w3  	2.803     
icc_p_w4  	999.000   
icc_p_w5  	999.000   
icc_p_w6  	999.000   
icc_p_w7  	999.000   
icc_p_peak	62.970    
icc_p_desel	0.410     
icc_p_standby	2.034e-02 
icc_p_standby_retn	0.000e+00 
icc_c0    	6.541e-02 
icc_c1    	6.541e-02 
icc_c2    	6.541e-02 
icc_c3    	6.541e-02 
icc_c4    	999.000   
icc_c5    	999.000   
icc_c6    	999.000   
icc_c7    	999.000   
icc_c_r0  	6.227e-02 
icc_c_r1  	6.227e-02 
icc_c_r2  	6.227e-02 
icc_c_r3  	6.227e-02 
icc_c_r4  	999.000   
icc_c_r5  	999.000   
icc_c_r6  	999.000   
icc_c_r7  	999.000   
icc_c_w0  	6.855e-02 
icc_c_w1  	6.855e-02 
icc_c_w2  	6.855e-02 
icc_c_w3  	6.855e-02 
icc_c_w4  	999.000   
icc_c_w5  	999.000   
icc_c_w6  	999.000   
icc_c_w7  	999.000   
icc_c_peak	8.683     
icc_c_desel	0.000e+00 
icc_c_standby	3.605e-02 
icc_c_standby_retn	3.616e-02 
pwn_ck    	10.000    
vn_ck     	0.493     
vn_pwr    	0.090     
vn_gnd    	0.090     
# EMA feature specific information.
icap_ema  	0.003     
temas     	1.730     
temah     	2.062     
# MTCMOS feature specific information.
icap_retn 	0.004     
tretnq    	0.480     
tretns    	0.225     
tretnh    	0.213     
tcen_retnh	0.334     
tretn_cenh	2.062     
