# FE Release Version: 2.4.24
# picosoc_sram_2048x32 words=2048 bits=32 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	tt_1p00v_1p00v_25c	
S		N
geomx     	586.590   
geomy     	111.350   
volt      	1.000     
temp      	25.000    
tcyc0     	1.029     
tcyc1     	1.088     
tcyc2     	1.169     
tcyc3     	1.195     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	0.799     
ta1       	0.857     
ta2       	0.939     
ta3       	0.965     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.225     
tah       	0.133     
tcs       	0.151     
tch       	0.119     
tws       	0.086     
twh       	0.149     
tgwens    	0.115     
tgwenh    	0.160     
tds       	0.093     
tdh       	0.139     
tckh      	0.030     
tckl      	0.066     
tckr      	1.000     
icap_a    	0.006     
icap_clk  	0.031     
icap_cen  	0.002     
icap_d    	0.002     
icap_wen  	0.034     
icap_gwen 	0.006     
load_q    	0.390     
icc_p0    	3.276     
icc_p1    	3.337     
icc_p2    	3.426     
icc_p3    	3.454     
icc_p4    	999.000   
icc_p5    	999.000   
icc_p6    	999.000   
icc_p7    	999.000   
icc_p_r0  	3.511     
icc_p_r1  	3.575     
icc_p_r2  	3.682     
icc_p_r3  	3.702     
icc_p_r4  	999.000   
icc_p_r5  	999.000   
icc_p_r6  	999.000   
icc_p_r7  	999.000   
icc_p_w0  	3.041     
icc_p_w1  	3.099     
icc_p_w2  	3.169     
icc_p_w3  	3.207     
icc_p_w4  	999.000   
icc_p_w5  	999.000   
icc_p_w6  	999.000   
icc_p_w7  	999.000   
icc_p_peak	107.089   
icc_p_desel	0.499     
icc_p_standby	0.106     
icc_p_standby_retn	0.000e+00 
icc_c0    	7.120e-02 
icc_c1    	7.120e-02 
icc_c2    	7.120e-02 
icc_c3    	7.120e-02 
icc_c4    	999.000   
icc_c5    	999.000   
icc_c6    	999.000   
icc_c7    	999.000   
icc_c_r0  	5.998e-02 
icc_c_r1  	5.998e-02 
icc_c_r2  	5.998e-02 
icc_c_r3  	5.998e-02 
icc_c_r4  	999.000   
icc_c_r5  	999.000   
icc_c_r6  	999.000   
icc_c_r7  	999.000   
icc_c_w0  	8.242e-02 
icc_c_w1  	8.242e-02 
icc_c_w2  	8.242e-02 
icc_c_w3  	8.242e-02 
icc_c_w4  	999.000   
icc_c_w5  	999.000   
icc_c_w6  	999.000   
icc_c_w7  	999.000   
icc_c_peak	15.688    
icc_c_desel	0.000e+00 
icc_c_standby	0.176     
icc_c_standby_retn	0.179     
pwn_ck    	10.000    
vn_ck     	0.484     
vn_pwr    	0.100     
vn_gnd    	0.100     
# EMA feature specific information.
icap_ema  	0.004     
temas     	1.029     
temah     	1.195     
# MTCMOS feature specific information.
icap_retn 	0.004     
tretnq    	0.287     
tretns    	0.153     
tretnh    	0.121     
tcen_retnh	0.239     
tretn_cenh	1.195     
