# FE Release Version: 2.4.24
# pingpong_sram_4096x16 words=4096 bits=16 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	ff_1p10v_1p10v_125c	
S		N
geomx     	317.790   
geomy     	198.555   
volt      	1.100     
temp      	125.000   
tcyc0     	0.768     
tcyc1     	0.811     
tcyc2     	0.862     
tcyc3     	0.880     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	0.218     
ta1       	0.262     
ta2       	0.313     
ta3       	0.331     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.171     
tah       	0.109     
tcs       	0.101     
tch       	0.098     
tws       	0.090     
twh       	0.116     
tds       	0.079     
tdh       	0.106     
tckh      	0.030     
tckl      	0.037     
tckr      	1.000     
icap_a    	0.006     
icap_clk  	0.032     
icap_cen  	0.002     
icap_d    	0.002     
icap_wen  	0.006     
load_q    	0.221     
icc_p0    	2.349     
icc_p1    	2.396     
icc_p2    	2.430     
icc_p3    	2.451     
icc_p4    	999.000   
icc_p5    	999.000   
icc_p6    	999.000   
icc_p7    	999.000   
icc_p_r0  	2.539     
icc_p_r1  	2.573     
icc_p_r2  	2.607     
icc_p_r3  	2.648     
icc_p_r4  	999.000   
icc_p_r5  	999.000   
icc_p_r6  	999.000   
icc_p_r7  	999.000   
icc_p_w0  	2.159     
icc_p_w1  	2.220     
icc_p_w2  	2.254     
icc_p_w3  	2.254     
icc_p_w4  	999.000   
icc_p_w5  	999.000   
icc_p_w6  	999.000   
icc_p_w7  	999.000   
icc_p_peak	91.503    
icc_p_desel	0.545     
icc_p_standby	4.197     
icc_p_standby_retn	0.000e+00 
icc_c0    	6.425e-02 
icc_c1    	6.425e-02 
icc_c2    	6.425e-02 
icc_c3    	6.425e-02 
icc_c4    	999.000   
icc_c5    	999.000   
icc_c6    	999.000   
icc_c7    	999.000   
icc_c_r0  	5.975e-02 
icc_c_r1  	5.975e-02 
icc_c_r2  	5.975e-02 
icc_c_r3  	5.975e-02 
icc_c_r4  	999.000   
icc_c_r5  	999.000   
icc_c_r6  	999.000   
icc_c_r7  	999.000   
icc_c_w0  	6.875e-02 
icc_c_w1  	6.875e-02 
icc_c_w2  	6.875e-02 
icc_c_w3  	6.875e-02 
icc_c_w4  	999.000   
icc_c_w5  	999.000   
icc_c_w6  	999.000   
icc_c_w7  	999.000   
icc_c_peak	20.579    
icc_c_desel	0.000e+00 
icc_c_standby	8.130     
icc_c_standby_retn	8.650     
pwn_ck    	10.000    
vn_ck     	0.506     
vn_pwr    	0.110     
vn_gnd    	0.110     
# EMA feature specific information.
icap_ema  	0.004     
temas     	0.768     
temah     	0.880     
# MTCMOS feature specific information.
icap_retn 	0.004     
tretnq    	0.208     
tretns    	0.103     
tretnh    	0.100     
tcen_retnh	0.213     
tretn_cenh	0.880     
