# FE Release Version: 2.4.24
# pingpong_sram_4096x16 words=4096 bits=16 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	ff_1p10v_1p10v_m40c	
S		N
geomx     	317.790   
geomy     	198.555   
volt      	1.100     
temp      	-40.000   
tcyc0     	0.677     
tcyc1     	0.719     
tcyc2     	0.767     
tcyc3     	0.783     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	0.191     
ta1       	0.233     
ta2       	0.281     
ta3       	0.297     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.167     
tah       	0.092     
tcs       	0.115     
tch       	0.090     
tws       	0.085     
twh       	0.127     
tds       	0.076     
tdh       	0.089     
tckh      	0.023     
tckl      	0.037     
tckr      	1.000     
icap_a    	0.006     
icap_clk  	0.031     
icap_cen  	0.002     
icap_d    	0.002     
icap_wen  	0.006     
load_q    	0.186     
icc_p0    	2.016     
icc_p1    	2.057     
icc_p2    	2.103     
icc_p3    	2.111     
icc_p4    	999.000   
icc_p5    	999.000   
icc_p6    	999.000   
icc_p7    	999.000   
icc_p_r0  	2.189     
icc_p_r1  	2.229     
icc_p_r2  	2.282     
icc_p_r3  	2.290     
icc_p_r4  	999.000   
icc_p_r5  	999.000   
icc_p_r6  	999.000   
icc_p_r7  	999.000   
icc_p_w0  	1.842     
icc_p_w1  	1.885     
icc_p_w2  	1.923     
icc_p_w3  	1.932     
icc_p_w4  	999.000   
icc_p_w5  	999.000   
icc_p_w6  	999.000   
icc_p_w7  	999.000   
icc_p_peak	101.240   
icc_p_desel	0.465     
icc_p_standby	0.169     
icc_p_standby_retn	0.000e+00 
icc_c0    	5.841e-02 
icc_c1    	5.841e-02 
icc_c2    	5.841e-02 
icc_c3    	5.841e-02 
icc_c4    	999.000   
icc_c5    	999.000   
icc_c6    	999.000   
icc_c7    	999.000   
icc_c_r0  	5.344e-02 
icc_c_r1  	5.344e-02 
icc_c_r2  	5.344e-02 
icc_c_r3  	5.344e-02 
icc_c_r4  	999.000   
icc_c_r5  	999.000   
icc_c_r6  	999.000   
icc_c_r7  	999.000   
icc_c_w0  	6.338e-02 
icc_c_w1  	6.338e-02 
icc_c_w2  	6.338e-02 
icc_c_w3  	6.338e-02 
icc_c_w4  	999.000   
icc_c_w5  	999.000   
icc_c_w6  	999.000   
icc_c_w7  	999.000   
icc_c_peak	14.809    
icc_c_desel	0.000e+00 
icc_c_standby	0.386     
icc_c_standby_retn	0.393     
pwn_ck    	10.000    
vn_ck     	0.515     
vn_pwr    	0.110     
vn_gnd    	0.110     
# EMA feature specific information.
icap_ema  	0.004     
temas     	0.677     
temah     	0.783     
# MTCMOS feature specific information.
icap_retn 	0.004     
tretnq    	0.193     
tretns    	0.117     
tretnh    	0.092     
tcen_retnh	0.184     
tretn_cenh	0.783     
