# FE Release Version: 2.4.24
# pingpong_sram_4096x16 words=4096 bits=16 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	ss_0p90v_0p90v_125c	
S		N
geomx     	317.790   
geomy     	198.555   
volt      	0.900     
temp      	125.000   
tcyc0     	1.606     
tcyc1     	1.708     
tcyc2     	1.851     
tcyc3     	1.899     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	1.170     
ta1       	1.272     
ta2       	1.415     
ta3       	1.462     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.364     
tah       	0.218     
tcs       	0.230     
tch       	0.193     
tws       	0.233     
twh       	0.264     
tds       	0.224     
tdh       	0.217     
tckh      	0.023     
tckl      	0.115     
tckr      	1.000     
icap_a    	0.005     
icap_clk  	0.031     
icap_cen  	0.002     
icap_d    	0.002     
icap_wen  	0.006     
load_q    	0.546     
icc_p0    	1.572     
icc_p1    	1.602     
icc_p2    	1.646     
icc_p3    	1.662     
icc_p4    	999.000   
icc_p5    	999.000   
icc_p6    	999.000   
icc_p7    	999.000   
icc_p_r0  	1.716     
icc_p_r1  	1.744     
icc_p_r2  	1.792     
icc_p_r3  	1.810     
icc_p_r4  	999.000   
icc_p_r5  	999.000   
icc_p_r6  	999.000   
icc_p_r7  	999.000   
icc_p_w0  	1.428     
icc_p_w1  	1.459     
icc_p_w2  	1.500     
icc_p_w3  	1.513     
icc_p_w4  	999.000   
icc_p_w5  	999.000   
icc_p_w6  	999.000   
icc_p_w7  	999.000   
icc_p_peak	33.802    
icc_p_desel	0.360     
icc_p_standby	0.183     
icc_p_standby_retn	0.000e+00 
icc_c0    	4.231e-02 
icc_c1    	4.231e-02 
icc_c2    	4.231e-02 
icc_c3    	4.231e-02 
icc_c4    	999.000   
icc_c5    	999.000   
icc_c6    	999.000   
icc_c7    	999.000   
icc_c_r0  	3.749e-02 
icc_c_r1  	3.749e-02 
icc_c_r2  	3.749e-02 
icc_c_r3  	3.749e-02 
icc_c_r4  	999.000   
icc_c_r5  	999.000   
icc_c_r6  	999.000   
icc_c_r7  	999.000   
icc_c_w0  	4.714e-02 
icc_c_w1  	4.714e-02 
icc_c_w2  	4.714e-02 
icc_c_w3  	4.714e-02 
icc_c_w4  	999.000   
icc_c_w5  	999.000   
icc_c_w6  	999.000   
icc_c_w7  	999.000   
icc_c_peak	6.017     
icc_c_desel	0.000e+00 
icc_c_standby	0.441     
icc_c_standby_retn	0.450     
pwn_ck    	10.000    
vn_ck     	0.450     
vn_pwr    	0.090     
vn_gnd    	0.090     
# EMA feature specific information.
icap_ema  	0.004     
temas     	1.606     
temah     	1.899     
# MTCMOS feature specific information.
icap_retn 	0.004     
tretnq    	0.445     
tretns    	0.232     
tretnh    	0.196     
tcen_retnh	0.362     
tretn_cenh	1.899     
