# FE Release Version: 2.4.24
# pingpong_sram_4096x16 words=4096 bits=16 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	ss_0p90v_0p90v_m40c	
S		N
geomx     	317.790   
geomy     	198.555   
volt      	0.900     
temp      	-40.000   
tcyc0     	1.686     
tcyc1     	1.789     
tcyc2     	1.969     
tcyc3     	2.018     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	1.245     
ta1       	1.348     
ta2       	1.528     
ta3       	1.577     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.397     
tah       	0.213     
tcs       	0.221     
tch       	0.209     
tws       	0.243     
twh       	0.262     
tds       	0.235     
tdh       	0.191     
tckh      	0.020     
tckl      	0.115     
tckr      	1.000     
icap_a    	0.005     
icap_clk  	0.029     
icap_cen  	0.002     
icap_d    	0.002     
icap_wen  	0.006     
load_q    	0.559     
icc_p0    	1.516     
icc_p1    	1.547     
icc_p2    	1.615     
icc_p3    	1.633     
icc_p4    	999.000   
icc_p5    	999.000   
icc_p6    	999.000   
icc_p7    	999.000   
icc_p_r0  	1.634     
icc_p_r1  	1.663     
icc_p_r2  	1.736     
icc_p_r3  	1.751     
icc_p_r4  	999.000   
icc_p_r5  	999.000   
icc_p_r6  	999.000   
icc_p_r7  	999.000   
icc_p_w0  	1.398     
icc_p_w1  	1.431     
icc_p_w2  	1.495     
icc_p_w3  	1.514     
icc_p_w4  	999.000   
icc_p_w5  	999.000   
icc_p_w6  	999.000   
icc_p_w7  	999.000   
icc_p_peak	35.517    
icc_p_desel	0.330     
icc_p_standby	1.875e-02 
icc_p_standby_retn	0.000e+00 
icc_c0    	4.181e-02 
icc_c1    	4.181e-02 
icc_c2    	4.181e-02 
icc_c3    	4.181e-02 
icc_c4    	999.000   
icc_c5    	999.000   
icc_c6    	999.000   
icc_c7    	999.000   
icc_c_r0  	3.951e-02 
icc_c_r1  	3.951e-02 
icc_c_r2  	3.951e-02 
icc_c_r3  	3.951e-02 
icc_c_r4  	999.000   
icc_c_r5  	999.000   
icc_c_r6  	999.000   
icc_c_r7  	999.000   
icc_c_w0  	4.412e-02 
icc_c_w1  	4.412e-02 
icc_c_w2  	4.412e-02 
icc_c_w3  	4.412e-02 
icc_c_w4  	999.000   
icc_c_w5  	999.000   
icc_c_w6  	999.000   
icc_c_w7  	999.000   
icc_c_peak	5.676     
icc_c_desel	0.000e+00 
icc_c_standby	3.953e-02 
icc_c_standby_retn	3.968e-02 
pwn_ck    	10.000    
vn_ck     	0.493     
vn_pwr    	0.090     
vn_gnd    	0.090     
# EMA feature specific information.
icap_ema  	0.003     
temas     	1.686     
temah     	2.018     
# MTCMOS feature specific information.
icap_retn 	0.004     
tretnq    	0.479     
tretns    	0.225     
tretnh    	0.213     
tcen_retnh	0.356     
tretn_cenh	2.018     
