# FE Release Version: 2.4.24
# pingpong_sram_4096x16 words=4096 bits=16 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	tt_1p00v_1p00v_25c	
S		N
geomx     	317.790   
geomy     	198.555   
volt      	1.000     
temp      	25.000    
tcyc0     	1.003     
tcyc1     	1.060     
tcyc2     	1.141     
tcyc3     	1.167     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	0.754     
ta1       	0.811     
ta2       	0.893     
ta3       	0.918     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.231     
tah       	0.137     
tcs       	0.152     
tch       	0.120     
tws       	0.125     
twh       	0.160     
tds       	0.116     
tdh       	0.122     
tckh      	0.030     
tckl      	0.066     
tckr      	1.000     
icap_a    	0.006     
icap_clk  	0.031     
icap_cen  	0.002     
icap_d    	0.002     
icap_wen  	0.006     
load_q    	0.390     
icc_p0    	1.773     
icc_p1    	1.804     
icc_p2    	1.857     
icc_p3    	1.868     
icc_p4    	999.000   
icc_p5    	999.000   
icc_p6    	999.000   
icc_p7    	999.000   
icc_p_r0  	1.927     
icc_p_r1  	1.954     
icc_p_r2  	2.015     
icc_p_r3  	2.024     
icc_p_r4  	999.000   
icc_p_r5  	999.000   
icc_p_r6  	999.000   
icc_p_r7  	999.000   
icc_p_w0  	1.619     
icc_p_w1  	1.653     
icc_p_w2  	1.698     
icc_p_w3  	1.712     
icc_p_w4  	999.000   
icc_p_w5  	999.000   
icc_p_w6  	999.000   
icc_p_w7  	999.000   
icc_p_peak	60.190    
icc_p_desel	0.403     
icc_p_standby	9.659e-02 
icc_p_standby_retn	0.000e+00 
icc_c0    	4.807e-02 
icc_c1    	4.807e-02 
icc_c2    	4.807e-02 
icc_c3    	4.807e-02 
icc_c4    	999.000   
icc_c5    	999.000   
icc_c6    	999.000   
icc_c7    	999.000   
icc_c_r0  	4.263e-02 
icc_c_r1  	4.263e-02 
icc_c_r2  	4.263e-02 
icc_c_r3  	4.263e-02 
icc_c_r4  	999.000   
icc_c_r5  	999.000   
icc_c_r6  	999.000   
icc_c_r7  	999.000   
icc_c_w0  	5.351e-02 
icc_c_w1  	5.351e-02 
icc_c_w2  	5.351e-02 
icc_c_w3  	5.351e-02 
icc_c_w4  	999.000   
icc_c_w5  	999.000   
icc_c_w6  	999.000   
icc_c_w7  	999.000   
icc_c_peak	9.777     
icc_c_desel	0.000e+00 
icc_c_standby	0.235     
icc_c_standby_retn	0.238     
pwn_ck    	10.000    
vn_ck     	0.484     
vn_pwr    	0.100     
vn_gnd    	0.100     
# EMA feature specific information.
icap_ema  	0.004     
temas     	1.003     
temah     	1.167     
# MTCMOS feature specific information.
icap_retn 	0.004     
tretnq    	0.283     
tretns    	0.154     
tretnh    	0.122     
tcen_retnh	0.249     
tretn_cenh	1.167     
